customer_id,name,email,signup_date,order_id,order_date,amount
1,Customer_1,cust_1@example.com,2025-01-01,10817.0,2025-02-01,69.27
1,Customer_1,cust_1@example.com,2025-01-01,10953.0,2025-02-01,420.09
1,Customer_1,cust_1@example.com,2025-01-01,11238.0,2025-02-01,10.35
1,Customer_1,cust_1@example.com,2025-01-01,11439.0,2025-02-01,112.66
1,Customer_1,cust_1@example.com,2025-01-01,12467.0,2025-02-02,263.64
1,Customer_1,cust_1@example.com,2025-01-01,12539.0,2025-02-02,151.58
1,Customer_1,cust_1@example.com,2025-01-01,13776.0,2025-02-03,350.06
1,Customer_1,cust_1@example.com,2025-01-01,14027.0,2025-02-03,269.59
1,Customer_1,cust_1@example.com,2025-01-01,14403.0,2025-02-04,164.38
2,Customer_2,cust_2@example.com,2025-01-01,10084.0,2025-02-01,399.13
2,Customer_2,cust_2@example.com,2025-01-01,10265.0,2025-02-01,487.87
2,Customer_2,cust_2@example.com,2025-01-01,10336.0,2025-02-01,197.95
2,Customer_2,cust_2@example.com,2025-01-01,12248.0,2025-02-02,422.26
2,Customer_2,cust_2@example.com,2025-01-01,12391.0,2025-02-02,130.42
2,Customer_2,cust_2@example.com,2025-01-01,12664.0,2025-02-02,298.74
3,Customer_3,cust_3@example.com,2025-01-01,11120.0,2025-02-01,482.7
3,Customer_3,cust_3@example.com,2025-01-01,11876.0,2025-02-02,432.59
3,Customer_3,cust_3@example.com,2025-01-01,11951.0,2025-02-02,458.81
3,Customer_3,cust_3@example.com,2025-01-01,12603.0,2025-02-02,455.4
3,Customer_3,cust_3@example.com,2025-01-01,14629.0,2025-02-04,54.42
3,Customer_3,cust_3@example.com,2025-01-01,14828.0,2025-02-04,245.9
4,Customer_4,cust_4@example.com,2025-01-01,11209.0,2025-02-01,148.45
4,Customer_4,cust_4@example.com,2025-01-01,11641.0,2025-02-02,292.83
5,Customer_5,cust_5@example.com,2025-01-01,10166.0,2025-02-01,219.56
5,Customer_5,cust_5@example.com,2025-01-01,10526.0,2025-02-01,247.25
5,Customer_5,cust_5@example.com,2025-01-01,10908.0,2025-02-01,197.93
5,Customer_5,cust_5@example.com,2025-01-01,11062.0,2025-02-01,224.64
5,Customer_5,cust_5@example.com,2025-01-01,11298.0,2025-02-01,216.35
5,Customer_5,cust_5@example.com,2025-01-01,14800.0,2025-02-04,461.83
6,Customer_6,cust_6@example.com,2025-01-01,11204.0,2025-02-01,52.98
7,Customer_7,cust_7@example.com,2025-01-01,11119.0,2025-02-01,377.16
7,Customer_7,cust_7@example.com,2025-01-01,11581.0,2025-02-02,274.1
7,Customer_7,cust_7@example.com,2025-01-01,12029.0,2025-02-02,438.05
7,Customer_7,cust_7@example.com,2025-01-01,12107.0,2025-02-02,281.54
7,Customer_7,cust_7@example.com,2025-01-01,12289.0,2025-02-02,467.23
7,Customer_7,cust_7@example.com,2025-01-01,12915.0,2025-02-03,443.16
7,Customer_7,cust_7@example.com,2025-01-01,14153.0,2025-02-03,281.96
8,Customer_8,cust_8@example.com,2025-01-01,10870.0,2025-02-01,161.72
8,Customer_8,cust_8@example.com,2025-01-01,11097.0,2025-02-01,378.68
8,Customer_8,cust_8@example.com,2025-01-01,11548.0,2025-02-02,306.15
8,Customer_8,cust_8@example.com,2025-01-01,12509.0,2025-02-02,134.17
8,Customer_8,cust_8@example.com,2025-01-01,13121.0,2025-02-03,258.62
8,Customer_8,cust_8@example.com,2025-01-01,13642.0,2025-02-03,124.76
8,Customer_8,cust_8@example.com,2025-01-01,13913.0,2025-02-03,290.33
