customer_id,name,email,signup_date
52,Customer_52,cust_52@example.com,2025-01-03
71,Customer_71,cust_71@example.com,2025-01-03
197,Customer_197,cust_197@example.com,2025-01-09
299,Customer_299,cust_299@example.com,2025-01-13
433,Customer_433,cust_433@example.com,2025-01-19
671,Customer_671,cust_671@example.com,2025-01-28
694,Customer_694,cust_694@example.com,2025-01-29
765,Customer_765,cust_765@example.com,2025-02-01
808,Customer_808,cust_808@example.com,2025-02-03
901,Customer_901,cust_901@example.com,2025-02-07
902,Customer_902,cust_902@example.com,2025-02-07
903,Customer_903,cust_903@example.com,2025-02-07
904,Customer_904,cust_904@example.com,2025-02-07
905,Customer_905,cust_905@example.com,2025-02-07
906,Customer_906,cust_906@example.com,2025-02-07
907,Customer_907,cust_907@example.com,2025-02-07
908,Customer_908,cust_908@example.com,2025-02-07
909,Customer_909,cust_909@example.com,2025-02-07
910,Customer_910,cust_910@example.com,2025-02-07
911,Customer_911,cust_911@example.com,2025-02-07
912,Customer_912,cust_912@example.com,2025-02-07
913,Customer_913,cust_913@example.com,2025-02-08
914,Customer_914,cust_914@example.com,2025-02-08
915,Customer_915,cust_915@example.com,2025-02-08
916,Customer_916,cust_916@example.com,2025-02-08
917,Customer_917,cust_917@example.com,2025-02-08
918,Customer_918,cust_918@example.com,2025-02-08
919,Customer_919,cust_919@example.com,2025-02-08
920,Customer_920,cust_920@example.com,2025-02-08
921,Customer_921,cust_921@example.com,2025-02-08
922,Customer_922,cust_922@example.com,2025-02-08
923,Customer_923,cust_923@example.com,2025-02-08
924,Customer_924,cust_924@example.com,2025-02-08
925,Customer_925,cust_925@example.com,2025-02-08
926,Customer_926,cust_926@example.com,2025-02-08
927,Customer_927,cust_927@example.com,2025-02-08
928,Customer_928,cust_928@example.com,2025-02-08
929,Customer_929,cust_929@example.com,2025-02-08
930,Customer_930,cust_930@example.com,2025-02-08
931,Customer_931,cust_931@example.com,2025-02-08
932,Customer_932,cust_932@example.com,2025-02-08
933,Customer_933,cust_933@example.com,2025-02-08
934,Customer_934,cust_934@example.com,2025-02-08
935,Customer_935,cust_935@example.com,2025-02-08
936,Customer_936,cust_936@example.com,2025-02-08
937,Customer_937,cust_937@example.com,2025-02-09
938,Customer_938,cust_938@example.com,2025-02-09
939,Customer_939,cust_939@example.com,2025-02-09
940,Customer_940,cust_940@example.com,2025-02-09
941,Customer_941,cust_941@example.com,2025-02-09
942,Customer_942,cust_942@example.com,2025-02-09
943,Customer_943,cust_943@example.com,2025-02-09
944,Customer_944,cust_944@example.com,2025-02-09
945,Customer_945,cust_945@example.com,2025-02-09
946,Customer_946,cust_946@example.com,2025-02-09
947,Customer_947,cust_947@example.com,2025-02-09
948,Customer_948,cust_948@example.com,2025-02-09
949,Customer_949,cust_949@example.com,2025-02-09
950,Customer_950,cust_950@example.com,2025-02-09
951,Customer_951,cust_951@example.com,2025-02-09
952,Customer_952,cust_952@example.com,2025-02-09
953,Customer_953,cust_953@example.com,2025-02-09
954,Customer_954,cust_954@example.com,2025-02-09
955,Customer_955,cust_955@example.com,2025-02-09
956,Customer_956,cust_956@example.com,2025-02-09
957,Customer_957,cust_957@example.com,2025-02-09
958,Customer_958,cust_958@example.com,2025-02-09
959,Customer_959,cust_959@example.com,2025-02-09
960,Customer_960,cust_960@example.com,2025-02-09
961,Customer_961,cust_961@example.com,2025-02-10
962,Customer_962,cust_962@example.com,2025-02-10
963,Customer_963,cust_963@example.com,2025-02-10
964,Customer_964,cust_964@example.com,2025-02-10
965,Customer_965,cust_965@example.com,2025-02-10
966,Customer_966,cust_966@example.com,2025-02-10
967,Customer_967,cust_967@example.com,2025-02-10
968,Customer_968,cust_968@example.com,2025-02-10
969,Customer_969,cust_969@example.com,2025-02-10
970,Customer_970,cust_970@example.com,2025-02-10
971,Customer_971,cust_971@example.com,2025-02-10
972,Customer_972,cust_972@example.com,2025-02-10
973,Customer_973,cust_973@example.com,2025-02-10
974,Customer_974,cust_974@example.com,2025-02-10
975,Customer_975,cust_975@example.com,2025-02-10
976,Customer_976,cust_976@example.com,2025-02-10
977,Customer_977,cust_977@example.com,2025-02-10
978,Customer_978,cust_978@example.com,2025-02-10
979,Customer_979,cust_979@example.com,2025-02-10
980,Customer_980,cust_980@example.com,2025-02-10
981,Customer_981,cust_981@example.com,2025-02-10
982,Customer_982,cust_982@example.com,2025-02-10
983,Customer_983,cust_983@example.com,2025-02-10
984,Customer_984,cust_984@example.com,2025-02-10
985,Customer_985,cust_985@example.com,2025-02-11
986,Customer_986,cust_986@example.com,2025-02-11
987,Customer_987,cust_987@example.com,2025-02-11
988,Customer_988,cust_988@example.com,2025-02-11
989,Customer_989,cust_989@example.com,2025-02-11
990,Customer_990,cust_990@example.com,2025-02-11
991,Customer_991,cust_991@example.com,2025-02-11
992,Customer_992,cust_992@example.com,2025-02-11
993,Customer_993,cust_993@example.com,2025-02-11
994,Customer_994,cust_994@example.com,2025-02-11
995,Customer_995,cust_995@example.com,2025-02-11
996,Customer_996,cust_996@example.com,2025-02-11
997,Customer_997,cust_997@example.com,2025-02-11
998,Customer_998,cust_998@example.com,2025-02-11
999,Customer_999,cust_999@example.com,2025-02-11
1000,Customer_1000,cust_1000@example.com,2025-02-11
